Record,Accel. Opening Angle,Actual Forward && Reverse Linear Solenoid Current,Actual Gear Ratio,Actual Secondary Pressure,AT learning,ATF Temp.,ATF Temperature Lamp,Commanded Forward && Reverse Linear Solenoid Current,Control module voltage,D Range Signal,Diagnosis Lamp,Down Switch,Engine Speed,Front Wheel Speed,Front Wheel Speed (2),Lock Up Duty Ratio,Lock-Up ON/OFF Solenoid,Manual Mode Switch,N Range,P Range,Primary DOWN Duty,Primary Rev Speed,Primary UP Duty,R Range Signal,Secondary Actual Current,Secondary Rev Speed,Secondary Set Current,Shift step in Manu. Mode,Stop Light Switch,Transfer Duty Ratio,Turbine Revolution Speed,Up Switch
0,0.00,1001.00,2.16,0.60,Completed,9.00,OFF,1000.00,14.64,OFF,OFF,OFF,976.00,0.00,0.00,0.00,OFF,OFF,OFF,ON,34.80,821.00,0.00,OFF,768.00,386.00,767.00,0.00,OFF,0.00,928.00,OFF
1,0.00,1000.00,2.16,0.59,Completed,9.00,OFF,1000.00,14.66,OFF,OFF,OFF,969.00,0.00,0.00,0.00,OFF,OFF,OFF,ON,34.40,830.00,0.00,OFF,767.00,385.00,766.00,0.00,OFF,0.00,928.00,OFF
2,0.00,1000.00,2.16,0.60,Completed,9.00,OFF,1000.00,14.66,OFF,OFF,OFF,976.00,0.00,0.00,0.00,OFF,OFF,OFF,ON,0.00,825.00,34.80,OFF,768.00,384.00,766.00,0.00,OFF,0.00,928.00,OFF
3,0.00,1000.00,2.16,0.60,Completed,9.00,OFF,1000.00,14.62,OFF,OFF,OFF,983.00,0.00,0.00,0.00,OFF,OFF,OFF,ON,0.00,819.00,37.60,OFF,767.00,384.00,766.00,0.00,OFF,0.00,928.00,OFF
4,0.00,1000.00,2.16,0.60,Completed,9.00,OFF,1000.00,14.66,OFF,OFF,OFF,986.00,0.00,0.00,0.00,OFF,OFF,OFF,ON,0.00,826.00,34.00,OFF,768.00,381.00,766.00,0.00,OFF,0.00,928.00,OFF
5,0.00,1000.00,2.16,0.59,Completed,9.00,OFF,1000.00,14.66,OFF,OFF,OFF,976.00,0.00,0.00,0.00,OFF,OFF,OFF,ON,0.00,829.00,36.40,OFF,768.00,384.00,765.00,0.00,OFF,0.00,928.00,OFF
6,0.00,1000.00,2.16,0.59,Completed,9.00,OFF,1000.00,14.66,OFF,OFF,OFF,973.00,0.00,0.00,0.00,OFF,OFF,OFF,ON,0.00,829.00,34.80,OFF,767.00,386.00,765.00,0.00,OFF,0.00,928.00,OFF
7,0.00,847.00,2.25,1.67,Completed,9.00,OFF,847.00,14.65,ON,OFF,OFF,960.00,0.00,0.00,0.00,OFF,OFF,OFF,OFF,0.00,792.00,0.00,OFF,645.00,368.00,638.00,0.00,OFF,0.00,928.00,OFF
8,0.00,778.00,2.23,1.47,Completed,9.00,OFF,776.00,14.71,ON,OFF,OFF,968.00,149.00,149.00,0.00,OFF,OFF,OFF,OFF,0.00,429.00,47.60,OFF,662.00,142.00,656.00,0.00,OFF,42.00,320.00,OFF
9,4.31,806.00,2.16,0.94,Completed,9.00,OFF,802.00,14.67,ON,OFF,OFF,1245.00,300.00,300.00,0.00,OFF,OFF,OFF,OFF,34.80,851.00,0.00,OFF,721.00,353.00,718.00,0.00,OFF,32.00,832.00,OFF
